Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
566663,B000NV9VQU,A1SXMCMLHAVH0I,Biba,2,2,5,1226880000,THE BEST TREAT YOU CAN BUY PERIOD!,"There is NOTHING on the market like these treats by Canz. My dogs will do anything for them! The price that Amazon charges is HALF of what I pay at my local pet store if I have to buy them there. The ingredients are pure, natural, and healthy. The jerky is not dried out and brittle; it is moist and chewy. No carbohydrates to make your pet gain weight either. My cats even like these (I break them into small pieces for them). The beef ones almost smell like they have a little bacon in them (but they don't). My dogs come running the minute they hear the rustle of this bag when I pick it up. I know many dog trainers that swear by these too. These will get your dog to do ANYTHING! I highly recommend these!"
566664,B000NV9VQU,A2CHHNIA58EPIG,Tamara,1,1,5,1316908800,Awesome treats!,My pup can't have anything with grains in it and these treats are just what I needed to use for training. He loves them!!
566665,B000NV9VQU,A1D0EJPEXE8ZOP,Don Rubin,1,1,4,1314835200,"My dog loves this, but beware there are different sizes available","My elderly dog who has pretty much given up on food really loves these treats. They are pieces of beef jerky about 3/4 by 1 inch. I have purchased these before from a local pet store and they are pretty pricy.  I purchased them from Amazon but didn't realize these were a smaller size that what I had before. These are 3/4 by about 1/4. Of course you can always give more, but my dog really liked chewing apart the larger pieces."
566666,B000NV9VQU,A2F2MZW8EOGH5J,"daemoncycler ""When you arrive at a fork in th...",0,0,5,1337817600,Awesome treats!,"So glad we found Amazon. Used to travel to the specialty pet food store for these treats - now not only do they come to the front door but they're less expensive on Amazon. Prime rocks.<br />My dog is a bit finicky but not with these treats - he LUVs them!<br />No fillers, 95% Lamb & NOT made in China."
566667,B000NV9VQU,A2DYW9Y2D8E43L,"Kris Cayocca ""Cayotejr""",1,3,3,1188086400,Good stuff,"Naturally, pooch scarfed this up.  What's not to like, other than it costs a bit more than the fake processed junk you normally get on the store shelf."
566668,B000Q71JG6,A1MS8JB1N3AT9B,Nice,0,0,4,1331683200,Ahmad green tea with earl grey,The test is very nice you wouldn't  think you are drinking green tea. It also has  very nice aroma so you can drink even with out sugar.
566669,B000Q71JG6,A1Q5TQTJXBFVF6,Kevin,0,0,5,1293840000,Love this tea!,"Bought this through Amazon from The New Mall. Ordered on Sunday. Order processed and shipped on Monday. Recieved in perfect condition - it was well bubble wrapped. Shipping is more than the tea but hey for under $14 I have over a pound of tea. That is less than 6 cents a cup, half the price of the same in bag form even with free super saver shipping. That's only a bargain if the tea is good, and it is in my opinion. The Ceylon green tea is not grassy like many greens. The large broken pieces of leaf have a full and pleasant taste. Not bitter. The tea flavor definitely comes through in the blend. The bergamot smells wonderfully of citrus and tastes just as good. The bergamot is not overdone but isn't underdone either. Similar to the level of bergamot in Twinings but slightly less bright. This is my daily go to tea."
566670,B000DZCKOG,A1C7WA2FHBVF70,Frostmatic,0,0,4,1323648000,MUST USE RUSH DELIVERY!!,"I ordered this product on a Wednesday. and of course with shipping and processing and what not, I did not get it until Monday. When the package arrived the box was abused. The box of smoothie mix itself is wrapped. This product is not ment to siit in a post office or anywhere really. If you order, get rush delivery. But even though the box was abused the product on the inside was still good."
566671,B0077HS6F0,AF6MP20RXGN2J,NORMS09,0,0,1,1348531200,horrible,looks really good but it taste nothing like a pizza... the crust is like cardboard and the pizza sauce and cheese has no taste.  do not buy if you like pizza
566672,B005HUVJVM,A2VLXQF0MXYCFD,Diva,5,5,5,1327881600,Best Miso Soup,"It is hard to find a miso soup that does not use bonito (fish). This miso soup is both vegan and delicious. with only 380 mg of sodium it is also low in sodium compared to other packaged miso soups. With large chunks of tofu, onions and seaweed it's hard to believe that so much fit into a tiny package. I was so happy to see this item come back in stock on Amazon. Great any time of day this is by far my favorite miso soup."
566673,B005HUVJVM,A1OV45CIPPAC26,"Creative One ""Creative4ONCE""",4,4,5,1331078400,Very satisfying and flavorful,"I purchased this soup for my husband and me due to its lower sodium content and being gluten free.  We absolutely love it!  For me, it is very soothing to my stomach, and I am very pleased with the taste and the appearance of the soup both before and after adding the hot water. It is also very satisfying. After a good work out at the gym, we have this soup instead of a heavy meal."
566674,B005HUVJVM,A37T6JF1UWBSO7,BP,2,2,1,1341360000,unedible,"This product was a huge let down. I wanted something I could throw in my purse to have available on busy days. I am a huge miso soup fan, but not overly picky. If it is miso I'm usually happy with it. The first thing I noticed were the onions, they were brown and pathetic looking, like they had been used after they were rotten. The smell of this soup is like nothing I have experienced before it is so off putting I didn't want to try it at first, but I was famished, and only had a 15 minute break in between meetings. I couldn't even swallow it. I would happily starve if it meant I never had to go near this awful stuff again."
566675,B005HUVJVM,A30Q4C2VZOYRPY,rach23,2,2,1,1341360000,product of china,"Product of China.  Unhappy that the other reviewers did not mention this as it is clearly labeled on the back of the individual packs and the cardboard box that the packs are sealed in.  If ""Product of China"" was included in the item description or shown in the picture of the item, I would not have purchased.  I can't comment on taste since item went into a basket instead of my mouth.  But to try to be fair,  the labeling is all in English and states  ""produced on HACCP certified site"" and ""best before date 03.15.2013.""  Unable to return this item per ""returns are easy."""
566676,B005HUVJVM,A1PBJSI6MBDLG8,J. Maughan,1,1,1,1341273600,All the flavor is in the tofu and onion,"I really like miso soup but this stuff just isn't very good. I don't know if it is the lack of a dashi stock due to it being vegetarian but the soup itself is very bland. All of the flavor seems to come from the overpowering onion and, surprisingly, the tofu cubes. The tofu cubes are extremely salty and it is odd to eat such a bland soup and then *POW* get hit in the face with salty tofu. I would expect the stock to be salty and the tofu to be bland. Did I mention the overpowering onion?"
566677,B005HUVJVM,A1C324BM6HX8BO,penit114,0,0,5,1334016000,Rockin' Miso!,"You may be dismayed at what you find in the package BUT I'm here to tell ya that this stuff is really good!  I moved out to a remote location, where I have to drive an hour (or more) to get Japanese food so this suffices my craving for Miso at a decent price!  When you open it, it's nothing more than a small, dry block in a tray...BUT after you add hot water, you're pleasantly surprised!  Pretty impressive if ya ask me!  Even better, my 12-year-old picky eater LOVES it too!"
566678,B005HUVJVM,A27WZVW45MRO01,"Shutterbug ""JC""",0,1,5,1337385600,Very good Miso flavor and appetizing looking!,"I love Miso and have tried a few other brands, but they always tasted different than what I've had at Japanese restaurants. This one tastes like the Miso I get at my favorite Japanese restaurant and it's a lot cheaper. So easy to make, just add water! Also, it's fun to watch the block of Miso soup come apart in the bowl after you add the hot water. It is the best looking instant Miso soup that I have had. I also follow a low carb and low sodium diet and this one fits my dietary needs."
566679,B005HUVJVM,AJTH9I1D13ZOB,Olga,1,4,1,1330473600,The worst tasting miso soup I have ever had,"Let me start out by saying that I love miso soup, I could and sometimes do eat it every day. And I am not a miso soup snob, either, I  enjoy various brands/ recipes. I, however, found this particular brand to be a dud - lacking any flavor whatsoever and packed with way too much onion. It may have fine quality ingredients, which is the reason I bought it in the first place, but it does not deliver in the taste department.<br />Disclaimer: I do understand tastes differ."
566680,B00577Y3HW,AY12DBB0U420B,Gary Peterson,1,1,5,1335225600,Excellent Nutrition. Did I Mention Great Taste?,"About a week ago I was shopping in the fancy cookies and crackers section of our local grocery store and I found these 4.25-ounce boxes of Ak-Mak Sesame Crackers. Well, it was like finding an old friend. I've been using these things for years and years but I lost track of them upon changing stores several times. They are delicious. They're real crisp and crunchy and have an excellent sesame seed taste, along with whole wheat. They're low in fat and with no cholesterol. They contain no sugar and have a very low sodium content for a cracker. Plus they have some protein and a goodly amount of fiber. What more could you ask for in a cracker? I've often used them as a bread substitute, and they're much more nutritious than most breads. Did I mention they have a great taste?<br /><br />Gary Peterson"
